,age,[Z/H],alpha,HdA,HdF,HgA,HgF,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C4668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,<Fe>,MgFe
98,14,0.35,0.3,-2.91,-0.0649,-6.75,-2.17,0.136,0.171,1.88,6.65,5.81,2.22,3.84,8.39,1.41,6.12,0.156,0.348,5.3,3.22,2.73,1.86,1.11,0.936,4.67,0.0491,0.11,2.975,3.97083114725368
99,15,0.35,0.3,-3.01,-0.108,-6.84,-2.24,0.142,0.178,1.92,6.68,5.87,2.24,3.87,8.48,1.37,6.13,0.16,0.354,5.35,3.25,2.75,1.87,1.11,0.941,4.76,0.0498,0.113,3,4.00624512480203
100,1,0.67,0.3,3.03,2.67,0.33,1.83,-0.00655,0.034,0.951,4.26,2.76,1.61,2.87,6.61,3.17,5.19,0.0865,0.204,3.24,2.47,2.29,1.39,1.07,0.801,3.46,0.0256,0.0356,2.38,2.77690475169747
101,2,0.67,0.3,-0.41,1.17,-3.96,-0.346,0.0572,0.0903,1.33,5.81,5.15,1.97,3.43,8.24,2.3,5.96,0.122,0.279,4.41,2.91,2.73,1.74,1.17,0.901,4.19,0.0394,0.0695,2.82,3.5264996809868
102,3,0.67,0.3,-1.77,0.563,-5.64,-1.31,0.104,0.138,1.64,6.35,5.91,2.19,3.77,9.35,1.91,6.4,0.151,0.326,5.09,3.21,3.01,1.96,1.23,0.99,4.79,0.0463,0.0876,3.11,3.97868068585555
103,4,0.67,0.3,-2.47,0.239,-6.43,-1.78,0.134,0.17,1.84,6.59,6.32,2.32,3.97,9.94,1.7,6.59,0.17,0.355,5.47,3.37,3.14,2.07,1.26,1.03,5.14,0.0494,0.0963,3.255,4.21957936292233
104,5,0.67,0.3,-2.69,0.133,-6.68,-1.92,0.143,0.179,1.91,6.66,6.47,2.36,4.04,10.1,1.63,6.64,0.175,0.364,5.58,3.42,3.17,2.11,1.27,1.04,5.27,0.0502,0.0991,3.295,4.28790158469151
105,6,0.67,0.3,-2.83,0.0676,-6.83,-2.03,0.151,0.188,1.97,6.69,6.56,2.39,4.09,10.2,1.57,6.69,0.18,0.372,5.67,3.46,3.21,2.14,1.28,1.05,5.39,0.0505,0.101,3.335,4.34849974129009
106,7,0.67,0.3,-2.99,-0.00471,-6.99,-2.14,0.16,0.198,2.03,6.72,6.66,2.42,4.14,10.4,1.52,6.73,0.185,0.38,5.77,3.51,3.24,2.17,1.28,1.06,5.51,0.0508,0.102,3.375,4.4129072050067
107,8,0.67,0.3,-3.17,-0.0868,-7.18,-2.26,0.17,0.21,2.1,6.76,6.77,2.46,4.2,10.5,1.46,6.78,0.191,0.389,5.88,3.56,3.28,2.2,1.29,1.07,5.65,0.0512,0.104,3.42,4.48437286585315
108,9,0.67,0.3,-3.37,-0.182,-7.39,-2.4,0.182,0.223,2.18,6.8,6.89,2.5,4.26,10.7,1.39,6.84,0.197,0.399,6.01,3.61,3.33,2.23,1.3,1.09,5.79,0.0516,0.106,3.47,4.56669464711623
109,10,0.67,0.3,-3.62,-0.293,-7.63,-2.56,0.197,0.239,2.28,6.85,7.03,2.55,4.34,10.9,1.31,6.9,0.205,0.411,6.15,3.67,3.37,2.27,1.31,1.1,5.95,0.052,0.108,3.52,4.65274112755051
110,11,0.67,0.3,-3.69,-0.343,-7.71,-2.62,0.211,0.255,2.35,6.81,7.09,2.58,4.39,11,1.27,6.95,0.21,0.419,6.23,3.72,3.41,2.29,1.31,1.11,6.09,0.0525,0.11,3.565,4.71274336241642
111,12,0.67,0.3,-3.78,-0.399,-7.79,-2.68,0.227,0.273,2.43,6.78,7.16,2.61,4.44,11.2,1.23,6.99,0.215,0.427,6.32,3.78,3.45,2.32,1.31,1.13,6.24,0.0531,0.111,3.615,4.77983263305317
112,13,0.67,0.3,-3.84,-0.445,-7.86,-2.74,0.248,0.296,2.49,6.72,7.24,2.63,4.5,11.4,1.19,7.01,0.221,0.436,6.4,3.83,3.49,2.34,1.32,1.14,6.39,0.0534,0.113,3.66,4.83983470792134
113,14,0.67,0.3,-3.87,-0.469,-7.89,-2.78,0.275,0.325,2.54,6.64,7.33,2.65,4.55,11.6,1.16,6.98,0.226,0.443,6.44,3.88,3.52,2.37,1.33,1.16,6.56,0.0531,0.114,3.7,4.88139324373687
114,15,0.67,0.3,-3.89,-0.489,-7.91,-2.81,0.288,0.339,2.58,6.6,7.36,2.67,4.58,11.7,1.13,6.99,0.23,0.448,6.48,3.91,3.54,2.37,1.33,1.17,6.66,0.053,0.115,3.725,4.91304386302423
