,age,[Z/H],alpha,HdA,HdF,HgA,HgF,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C4668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,<Fe>,MgFe
21,0.2,-1.35,0.3,9.19,7.17,9.04,7.25,-0.184,-0.11,-0.35,-2.85,-1.34,-0.158,-0.159,-0.335,5.45,0.146,0.00504,0.0127,0.373,-0.101,-0.101,-0.158,0.00906,-0.141,0.777,0.0111,-0.0048,-0.101,-10
22,0.4,-1.35,0.3,7.78,6.13,7.17,6.09,-0.196,-0.116,-0.21,-1.9,-1.26,-0.119,-0.00989,-0.341,5.52,0.383,0.00645,0.0236,0.611,0.0035,0.00109,-0.126,0.0514,-0.125,0.791,0.0133,-0.00411,0.002295,0.037446561924962
23,0.6,-1.35,0.3,7.51,5.68,6.62,5.52,-0.177,-0.101,-0.117,-1.24,-1.1,0.0243,0.309,-0.0745,4.89,0.899,0.00974,0.0292,0.653,0.416,0.242,0.0372,0.174,-0.0321,0.792,0.0139,-0.00159,0.329,0.463505124027772
24,0.8,-1.35,0.3,7.65,5.74,6.66,5.48,-0.174,-0.0963,-0.0584,-1.18,-0.986,0.0902,0.484,0.00923,4.73,1.17,0.0117,0.0332,0.75,0.597,0.353,0.122,0.237,0.0193,0.802,0.0136,-0.000403,0.475,0.596866819315666
25,1,-1.35,0.3,7.75,5.76,6.74,5.5,-0.174,-0.096,-0.0226,-1.15,-0.94,0.116,0.557,0.00496,4.7,1.25,0.012,0.0358,0.793,0.654,0.392,0.148,0.25,0.0339,0.822,0.0137,0.000198,0.523,0.644002329188335
26,2,-1.35,0.3,7.6,5.49,6.49,5.24,-0.165,-0.0933,0.075,-0.822,-0.747,0.168,0.722,-0.131,4.45,1.38,0.0114,0.0419,0.889,0.679,0.462,0.189,0.259,0.0546,0.87,0.0137,0.00095,0.5705,0.712161849581961
27,3,-1.35,0.3,6.88,4.98,5.46,4.65,-0.149,-0.0842,0.167,-0.239,-0.438,0.238,0.894,-0.178,4.07,1.53,0.0116,0.0479,0.997,0.751,0.538,0.233,0.275,0.0741,0.918,0.0138,0.00169,0.6445,0.801602457581063
28,4,-1.35,0.3,5.97,4.39,4.25,3.97,-0.131,-0.0736,0.247,0.353,-0.0802,0.307,1.05,-0.173,3.67,1.67,0.0126,0.0542,1.11,0.836,0.617,0.279,0.29,0.0946,0.975,0.014,0.00244,0.7265,0.898006124700717
29,5,-1.35,0.3,5.08,3.83,3.05,3.3,-0.115,-0.0635,0.317,0.912,0.24,0.368,1.18,-0.161,3.28,1.79,0.0141,0.0599,1.2,0.909,0.68,0.318,0.305,0.109,1.02,0.0142,0.00318,0.7945,0.976422039898731
30,6,-1.35,0.3,4.39,3.41,2.17,2.8,-0.103,-0.0562,0.368,1.3,0.516,0.417,1.27,-0.136,3,1.87,0.0156,0.0645,1.26,0.97,0.742,0.355,0.317,0.126,1.07,0.0143,0.00377,0.856,1.0385374331241
31,7,-1.35,0.3,3.84,3.06,1.47,2.38,-0.0941,-0.0505,0.411,1.63,0.692,0.449,1.34,-0.139,2.76,1.93,0.0173,0.0687,1.32,1.01,0.774,0.375,0.324,0.131,1.11,0.0145,0.00419,0.892,1.08509907381769
32,8,-1.35,0.3,3.51,2.86,1.07,2.15,-0.0897,-0.0479,0.44,1.8,0.809,0.468,1.38,-0.146,2.62,1.96,0.0185,0.0719,1.38,1.03,0.798,0.39,0.327,0.134,1.15,0.0145,0.00438,0.914,1.12308503685162
33,9,-1.35,0.3,3.17,2.66,0.561,1.86,-0.0844,-0.0444,0.472,2,0.943,0.494,1.42,-0.132,2.48,2,0.0202,0.0753,1.43,1.07,0.831,0.411,0.333,0.14,1.19,0.0147,0.0047,0.9505,1.16585376441473
34,10,-1.35,0.3,3,2.52,0.322,1.7,-0.0808,-0.042,0.496,2.15,1.02,0.512,1.46,-0.131,2.38,2.04,0.0216,0.0776,1.45,1.09,0.851,0.425,0.339,0.143,1.22,0.0149,0.00521,0.9705,1.186265147427
35,11,-1.35,0.3,2.95,2.47,0.256,1.64,-0.0797,-0.0411,0.503,2.18,1.09,0.524,1.47,-0.11,2.35,2.04,0.0225,0.0795,1.44,1.11,0.876,0.44,0.339,0.15,1.26,0.015,0.0054,0.993,1.1957926241619
